Timestamp,Reader,Paper,Score,Reader-Label
0,972,789,0.74,R#972
1,1015,555,0.77,R#1015
2,983,764,0.36,R#983
3,747,498,0.03,R#747
4,342,791,0.21,R#342
5,451,584,0.49,R#451
6,232,385,0.5,R#232
7,559,261,0.72,R#559
8,182,512,0.53,R#182
9,165,431,0.04,R#165
10,156,755,0.49,R#156
11,697,863,0.7,R#697
12,86,995,0.45,R#86
13,342,601,1.0,R#342
14,80,514,0.45,R#80
15,342,782,0.27,R#342
16,751,936,0.63,R#751
17,754,786,0.93,R#754
18,415,769,0.38,R#415
19,847,709,0.33,R#847
20,304,836,0.43,R#304
21,792,1017,0.63,R#792
22,903,340,0.66,R#903
23,140,112,0.35,R#140
24,948,347,0.34,R#948
25,977,225,0.89,R#977
26,498,1005,0.59,R#498
27,63,3,0.69,R#63
28,658,725,0.59,R#658
29,140,539,0.93,R#140
30,60,324,0.75,R#60
31,342,580,0.26,R#342
32,309,479,0.22,R#309
33,233,100,0.73,R#233
34,293,123,0.41,R#293
35,717,704,0.66,R#717
36,903,16,0.76,R#903
37,174,449,1.0,R#174
38,934,388,0.84,R#934
39,65,205,0.42,R#65
40,359,356,0.41,R#359
41,765,892,0.26,R#765
42,844,137,0.37,R#844
43,435,924,0.42,R#435
44,468,628,0.99,R#468
45,563,1031,0.08,R#563
46,1015,221,0.03,R#1015
47,726,933,0.01,R#726
48,658,51,0.33,R#658
49,701,384,0.58,R#701
50,467,830,0.67,R#467
51,155,979,0.7,R#155
52,461,22,0.73,R#461
53,461,546,0.68,R#461
54,698,134,0.39,R#698
55,707,778,0.97,R#707
56,729,107,0.47,R#729
57,322,78,0.71,R#322
58,435,44,0.46,R#435
59,707,282,0.41,R#707
60,666,116,0.9,R#666
61,377,34,0.97,R#377
62,606,408,0.11,R#606
63,643,801,0.59,R#643
64,446,655,0.68,R#446
65,467,27,0.44,R#467
66,67,574,0.32,R#67
67,964,354,0.21,R#964
68,38,937,0.62,R#38
69,697,336,0.22,R#697
70,114,251,0.44,R#114
71,454,300,0.32,R#454
72,983,133,0.43,R#983
73,85,110,0.4,R#85
74,72,970,0.36,R#72
75,367,159,0.38,R#367
76,352,146,0.66,R#352
