Timestamp,Reader,Paper,Score,Reader-Label
0,404,207,0.53,R#404
1,990,193,0.64,R#990
2,825,85,0.48,R#825
3,173,80,1.0,R#173
4,188,210,0.83,R#188
5,25,296,0.32,R#25
6,665,90,0.36,R#665
7,236,59,0.27,R#236
8,232,24,0.58,R#232
9,809,17,0.93,R#809
10,837,12,1.0,R#837
11,909,277,0.7,R#909
12,117,68,0.14,R#117
13,20,285,0.77,R#20
14,460,104,0.13,R#460
15,795,118,0.3,R#795
16,577,53,0.24,R#577
17,137,206,0.43,R#137
18,789,15,0.88,R#789
19,557,110,0.72,R#557
20,549,201,0.61,R#549
21,956,123,0.74,R#956
22,626,135,0.22,R#626
23,605,211,0.11,R#605
24,781,69,0.7,R#781
25,115,225,0.74,R#115
26,488,50,0.55,R#488
27,85,158,0.61,R#85
28,740,218,0.43,R#740
29,274,74,0.45,R#274
30,364,285,0.34,R#364
31,531,281,0.62,R#531
32,313,191,0.6,R#313
33,767,254,0.8,R#767
34,133,254,0.38,R#133
35,765,226,0.64,R#765
36,846,170,0.55,R#846
37,972,14,0.11,R#972
38,982,28,0.46,R#982
39,30,170,0.65,R#30
40,308,275,0.97,R#308
41,935,52,0.51,R#935
42,984,290,0.8,R#984
43,6,89,0.78,R#6
44,937,78,0.82,R#937
45,492,265,0.32,R#492
46,763,162,0.35,R#763
47,648,258,0.93,R#648
48,794,161,0.35,R#794
49,619,221,0.96,R#619
50,389,198,0.64,R#389
51,101,290,0.99,R#101
52,964,39,0.42,R#964
53,67,247,0.51,R#67
54,298,88,0.35,R#298
55,358,282,0.06,R#358
56,406,239,0.66,R#406
57,353,76,0.51,R#353
58,768,279,0.51,R#768
59,37,51,0.97,R#37
60,970,58,0.99,R#970
61,312,254,0.82,R#312
62,522,272,0.97,R#522
63,278,73,0.62,R#278
64,926,173,0.97,R#926
65,849,139,0.67,R#849
66,538,192,0.91,R#538
67,950,67,0.57,R#950
68,810,235,0.46,R#810
69,739,63,0.99,R#739
70,746,9,0.19,R#746
71,685,23,0.34,R#685
72,336,273,0.75,R#336
73,287,2,0.32,R#287
74,295,100,0.01,R#295
75,920,105,0.4,R#920
76,156,47,0.36,R#156
77,365,277,0.01,R#365
78,342,67,0.64,R#342
79,782,34,0.4,R#782
80,851,167,0.6,R#851
81,849,194,0.62,R#849
82,716,294,0.28,R#716
83,482,179,0.49,R#482
84,881,0,0.43,R#881
85,246,132,0.99,R#246
86,765,196,0.46,R#765
87,152,73,0.42,R#152
88,178,292,0.74,R#178
89,690,194,0.45,R#690
90,137,265,0.53,R#137
91,246,269,0.78,R#246
92,544,293,0.27,R#544
93,35,88,0.33,R#35
94,463,213,0.31,R#463
95,993,242,0.97,R#993
96,825,276,0.41,R#825
97,823,266,0.35,R#823
98,596,8,0.17,R#596
99,828,179,0.49,R#828
100,734,225,0.63,R#734
101,255,232,0.54,R#255
102,826,185,0.53,R#826
103,717,61,0.78,R#717
104,716,175,0.1,R#716
105,343,140,0.02,R#343
106,212,289,0.42,R#212
107,675,174,0.78,R#675
108,501,152,0.44,R#501
109,155,132,0.8,R#155
110,875,195,0.55,R#875
111,718,22,0.14,R#718
112,396,112,0.29,R#396
113,578,269,0.55,R#578
114,635,271,0.54,R#635
115,133,63,1.0,R#133
116,115,285,0.66,R#115
117,348,81,0.69,R#348
118,316,64,0.01,R#316
119,285,188,0.72,R#285
120,745,249,1.0,R#745
121,74,77,0.72,R#74
122,837,139,0.33,R#837
123,371,96,0.92,R#371
