Timestamp,Reader,Paper,Score,Reader-Label
0,281,278,0.01,R#281
1,389,56,0.8,R#389
2,69,29,0.29,R#69
3,261,245,0.76,R#261
4,248,37,0.56,R#248
5,611,87,0.48,R#611
6,256,52,0.71,R#256
7,570,238,0.06,R#570
8,182,174,0.2,R#182
9,567,53,0.26,R#567
10,331,90,0.62,R#331
11,841,61,0.43,R#841
12,1,26,0.01,R#1
13,202,32,0.34,R#202
14,834,227,0.12,R#834
15,716,177,0.1,R#716
16,826,191,0.75,R#826
17,966,225,0.49,R#966
18,346,279,0.84,R#346
19,884,269,0.34,R#884
20,174,13,0.14,R#174
21,594,127,0.59,R#594
22,536,71,0.01,R#536
23,92,202,0.23,R#92
24,868,49,0.92,R#868
25,788,99,0.43,R#788
26,891,89,0.69,R#891
27,6,294,0.04,R#6
28,800,10,0.88,R#800
29,745,277,0.05,R#745
30,253,284,0.93,R#253
31,757,227,0.02,R#757
32,121,141,0.53,R#121
33,166,219,0.26,R#166
34,302,244,0.62,R#302
35,819,248,0.6,R#819
36,440,258,0.91,R#440
37,509,73,0.39,R#509
38,374,179,0.44,R#374
39,789,119,0.43,R#789
40,239,26,0.01,R#239
41,715,25,0.77,R#715
42,684,214,0.56,R#684
43,663,79,0.49,R#663
44,998,180,0.43,R#998
45,443,196,0.29,R#443
46,736,3,0.59,R#736
47,142,179,0.43,R#142
48,749,81,0.58,R#749
49,485,232,0.75,R#485
50,590,36,0.87,R#590
51,37,18,0.87,R#37
52,767,261,0.86,R#767
53,265,259,0.01,R#265
54,64,38,0.56,R#64
55,432,239,0.92,R#432
56,186,60,0.38,R#186
57,65,244,0.42,R#65
58,336,50,0.36,R#336
59,211,157,0.57,R#211
60,418,272,0.99,R#418
61,57,154,0.96,R#57
62,406,239,0.66,R#406
63,535,17,0.91,R#535
64,825,85,0.48,R#825
65,690,194,0.45,R#690
66,793,206,0.55,R#793
67,303,56,0.56,R#303
68,615,79,0.06,R#615
69,73,144,0.29,R#73
70,264,57,0.05,R#264
71,994,271,0.67,R#994
72,514,186,0.39,R#514
73,219,176,0.68,R#219
74,72,178,0.48,R#72
75,561,47,0.52,R#561
76,306,196,0.02,R#306
77,246,2,0.41,R#246
78,702,288,0.02,R#702
79,189,249,0.03,R#189
80,793,243,0.21,R#793
81,25,247,0.87,R#25
82,220,161,0.42,R#220
83,616,63,0.93,R#616
84,457,82,0.99,R#457
85,1,34,0.31,R#1
86,669,215,0.95,R#669
87,159,1,0.39,R#159
88,512,197,0.94,R#512
89,55,147,0.6,R#55
90,843,172,0.56,R#843
91,296,72,0.08,R#296
92,495,34,0.42,R#495
93,681,248,0.76,R#681
94,406,94,0.85,R#406
95,758,229,0.82,R#758
96,166,82,1.0,R#166
97,809,56,0.35,R#809
98,986,101,0.41,R#986
99,30,0,0.51,R#30
100,484,274,0.1,R#484
101,473,170,0.8,R#473
102,530,44,0.87,R#530
103,734,38,0.7,R#734
104,550,109,0.61,R#550
105,47,261,0.76,R#47
106,24,15,0.93,R#24
107,104,169,0.98,R#104
108,541,148,0.68,R#541
109,864,284,0.01,R#864
110,461,132,0.99,R#461
111,37,73,0.19,R#37
112,264,109,0.42,R#264
113,505,77,0.76,R#505
114,104,163,0.87,R#104
115,774,66,0.24,R#774
116,289,254,0.55,R#289
117,334,175,0.16,R#334
118,593,211,0.28,R#593
119,596,295,1.0,R#596
120,230,80,1.0,R#230
121,101,262,0.46,R#101
122,541,123,0.65,R#541
123,404,164,0.01,R#404
124,142,156,0.26,R#142
125,41,165,0.46,R#41
126,166,76,0.72,R#166
127,132,232,0.53,R#132
128,505,272,1.0,R#505
129,254,247,0.78,R#254
130,444,65,0.21,R#444
131,186,175,0.27,R#186
132,741,100,0.68,R#741
133,748,90,0.64,R#748
134,215,36,0.99,R#215
135,133,252,0.33,R#133
136,762,184,0.7,R#762
